Date	Species	Strain	logCFU	CFU
20200902	MO	MO.3	4.73239376	54000
20200902	MO	MO.3	4.255272505	18000
20111101	MO	MO.3	5	100000
20111101	MO	MO.3	5	100000
20111101	MO	MO.3	4.806179974	64000
20111101	MO	MO.3	4.806179974	64000
20111101	MO	MO.3	4.531478917	34000
20111101	MO	MO.3	4.414973348	26000
20111101	MO	MO.3	4.301029996	20000
20111101	MO	MO.3	3.832508913	6800
20111101	MO	MO.3	3.806179974	6400
20111101	MO	MO.3	3.716003344	5200
20111101	MO	MO.3	3.662757832	4600
20111101	MO	MO.3	3.643452676	4400
20210119	MO	MO.A1.9	5.414973348	260000
20210119	MO	MO.A1.9	5.414973348	260000
20210119	MO	MO.A1.9	5.301029996	200000
20210119	MO	MO.A1.9	5.255272505	180000
20210119	MO	MO.A1.9	5.204119983	160000
20210119	MO	MO.A1.9	5.146128036	140000
20210119	MO	MO.A1.9	5.146128036	140000
20210119	MO	MO.A1.9	5	100000
20210119	MO	MO.A1.9	4.698970004	50000
20210119	MO	MO.A1.9	4.681241237	48000
20210119	MO	MO.A1.9	4.556302501	36000
20210119	MO	MO.A1.9	4.342422681	22000
20210119	MO	MO.A1.9	4.146128036	14000
20210119	MO	MO.A1.9	4.146128036	14000
20210119	MO	MO.A1.9	4	10000
20210119	MO	MO.A1.9	3.77815125	6000
20210119	MO	MO.A1.9	3.716003344	5200
20210119	MO	MO.A1.9	3.698970004	5000
20210119	MO	MO.A1.9	3.662757832	4600
20210119	MO	MO.A1.9	3.662757832	4600
20210119	MO	MO.A1.9	3.62324929	4200
20210119	MO	MO.A1.9	3.579783597	3800
20210119	MO	MO.A1.9	3.531478917	3400
20210119	MO	MO.A1.9	3.505149978	3200
20200902	MO	MO.A1.9	5.662757832	460000
20200902	MO	MO.A1.9	5.414973348	260000
20200902	MO	MO.A1.9	5.380211242	240000
20200902	MO	MO.A1.9	5.301029996	200000
20200902	MO	MO.A1.9	4.792391689	62000
20200902	MO	MO.A1.9	4.602059991	40000
20200902	MO	MO.A1.9	4.556302501	36000
20200902	MO	MO.A1.9	4.447158031	28000
20200902	MO	MO.A1.9	4.380211242	24000
20200902	MO	MO.A1.9	4.146128036	14000
20200902	MO	MO.A1.9	3.556302501	3600
20200902	MO	MO.A1.9	3.477121255	3000
20111101	MO	MO.A1.9	5.079181246	120000
20111101	MO	MO.A1.9	4.934498451	86000
20111101	MO	MO.A1.9	4.86923172	74000
20111101	MO	MO.A1.9	4.84509804	70000
20111101	MO	MO.A1.9	4.763427994	58000
20111101	MO	MO.A1.9	4.716003344	52000
20111101	MO	MO.A1.9	4.301029996	20000
20111101	MO	MO.A1.9	3.857332496	7200
20111101	MO	MO.A1.9	3.62324929	4200
20111101	MO	MO.A1.9	3.447158031	2800
20111101	MO	MO.A1.9	2.531478917	340
20220425	MO	MO.I2.9	5.579783597	380000
20220425	MO	MO.I2.9	5.447158031	280000
20220425	MO	MO.I2.9	3.342422681	2200
20220425	MO	MO.I2.9	3.255272505	1800
20220425	MO	MO.I2.9	4	10000
20220425	MO	MO.I2.9	4.662757832	46000
20220425	MO	MO.I2.9	3.414973348	2600
20220425	MO	MO.I2.9	4	10000
20220425	MO	MO.I2.9	5.73239376	540000
20220425	MO	MO.I2.9	4.716003344	52000
20220425	MO	MO.I2.9	4.477121255	30000
20220425	MO	MO.I2.9	4.146128036	14000
20220425	MO	MO.I2.9	5.204119983	160000
20220425	MO	MO.I2.9	5.505149978	320000
20220425	MO	MO.I2.9	4.079181246	12000
20220425	MO	MO.I2.9	3.531478917	3400
20220425	MO	MO.I2.9	3.602059991	4000
20220425	MO	MO.I2.9	3.477121255	3000
20220425	MO	MO.I2.9	4.602059991	40000
20220425	MO	MO.I2.9	3.380211242	2400
20220425	MO	MO.I2.9	4.255272505	18000
20220425	MO	MO.I2.9	3.556302501	3600
20220425	MO	MO.I2.9	5.380211242	240000
20220425	MO	MO.I2.9	5.414973348	260000
20200429	MO	MO.I2.9	3.903089987	8000
20200429	MO	MO.I2.9	5.602059991	400000
20200429	MO	MO.I2.9	4.477121255	30000
20200429	MO	MO.I2.9	5.146128036	140000
